Attendance_Percentage,Study_Hours_per_Day,Social_Media_Hours_per_Day,Sleep_Hours_per_Night,Previous_Semester_SGPA,Cleared_in_First_Attempt
67,3.7,2.6,4.8,6.79,No
100,1.7,3.8,7.1,5.76,Yes
40,3.4,3.2,7.1,4.73,No
85,3.9,3.5,6.9,6.15,Yes
64,2.6,3.7,7.3,3.89,No
64,2.3,4.0,5.7,6.0,No
63,3.0,2.4,5.8,5.82,Yes
65,3.2,2.1,7.6,4.3,No
83,3.1,3.8,3.3,4.74,No
60,3.4,0.5,6.5,7.1,Yes
70,2.9,2.5,6.6,5.66,No
86,3.6,3.8,4.5,5.73,No
38,4.0,2.6,6.0,4.57,No
100,2.7,3.8,6.4,6.82,Yes
88,2.8,3.5,5.8,6.33,Yes
77,2.5,4.8,6.9,5.03,No
76,1.7,3.8,6.7,5.8,No
73,2.8,4.4,6.5,5.12,No
61,0.0,5.5,5.4,4.74,Yes
83,3.5,2.8,3.8,6.56,No
67,5.7,3.7,8.0,6.13,Yes
55,2.1,2.5,3.8,4.36,No
89,4.9,4.5,4.5,5.92,Yes
57,3.1,2.8,,5.42,No
83,1.3,3.8,6.7,5.1,No
67,1.3,,6.2,4.82,No
78,3.5,2.5,7.1,4.29,No
55,2.1,,8.4,5.44,No
55,5.7,1.7,6.7,5.74,No
81,2.6,6.4,5.0,6.16,No
93,0.9,2.6,7.4,4.47,No
88,2.5,5.4,7.7,5.95,No
74,0.3,1.4,5.7,4.58,Yes
53,0.0,3.5,6.8,4.8,No
37,2.8,4.6,5.8,3.54,No
98,2.7,4.1,6.7,6.18,No
61,3.7,4.2,5.8,4.67,No
89,2.6,3.3,6.6,5.55,No
78,6.1,1.1,6.1,6.19,No
38,3.2,0.8,8.7,5.73,No
67,4.8,3.9,4.2,5.6,No
76,3.3,3.8,6.0,6.25,No
44,4.0,5.0,8.6,5.64,No
64,4.1,1.4,8.3,7.08,Yes
53,4.3,1.6,6.4,5.76,Yes
91,2.5,3.8,5.0,7.29,Yes
57,4.8,2.5,6.8,5.29,No
76,0.9,3.0,6.1,4.92,No
57,5.8,1.5,7.0,7.07,Yes
60,1.6,4.0,6.9,4.0,No
67,,3.2,6.6,4.51,No
