Hours_Studied,Attendance,Assignments_Completed,Previous_GPA,Sleep_Hours,Passed
5.99,85.37,2,8.43,6.34,1
4.72,88.41,0,6.95,7.13,1
6.3,96.25,4,7.21,7.17,1
8.05,95.81,6,8.09,6.85,1
4.53,59.33,5,6.99,5.07,0
4.53,65.93,0,7.54,6.64,0
8.16,87.73,4,7.98,9.76,1
6.53,87.71,4,7.68,3.18,1
4.06,87.73,5,7.34,7.93,1
6.09,100.0,2,9.14,8.17,1
4.07,88.56,4,8.49,5.03,1
4.07,97.03,6,6.9,6.19,1
5.48,94.31,4,5.91,5.5,1
1.17,89.77,4,7.77,9.21,1
1.55,75.27,4,7.26,8.23,1
3.88,91.38,9,9.05,8.3,1
2.97,68.41,9,8.18,6.96,1
5.63,76.45,2,7.92,8.51,1
3.18,72.72,0,7.02,6.79,0
2.18,81.23,4,5.95,8.57,0
7.93,100.0,8,6.76,6.61,1
4.55,51.99,0,7.57,5.92,1
5.14,90.29,2,4.92,9.15,0
2.15,55.81,3,8.49,6.77,0
3.91,72.92,0,9.48,5.63,1
5.22,96.33,0,4.67,5.62,0
2.7,80.96,7,5.32,5.62,0
5.75,63.83,1,7.28,7.9,0
3.8,69.27,7,6.3,6.67,1
4.42,90.19,6,7.31,9.79,1
3.8,69.04,9,6.91,8.34,1
8.7,83.25,9,5.77,7.13,1
4.97,80.68,1,8.55,8.63,1
2.88,70.23,5,7.56,6.16,0
6.65,100.0,5,6.33,4.39,1
2.56,89.51,2,8.81,5.51,0
5.42,49.62,10,6.39,6.99,1
1.08,82.8,1,5.51,6.51,0
2.34,70.07,0,7.22,7.87,1
5.39,92.79,5,7.42,6.64,1
6.48,68.11,4,7.64,7.77,1
5.34,78.28,10,7.84,8.75,1
4.77,87.57,8,7.62,6.63,1
4.4,92.99,0,7.57,7.52,0
2.04,62.0,6,6.31,4.52,0
3.56,74.98,4,6.18,6.64,1
4.08,72.88,4,7.89,5.2,0
7.11,70.2,1,7.29,6.99,1
5.69,100.0,10,7.98,7.11,1
1.47,86.07,2,4.95,7.1,0
5.65,61.09,6,6.4,6.18,1
4.23,93.77,5,9.29,9.79,1
3.65,100.0,1,7.66,5.15,1
6.22,95.49,5,7.35,5.07,1
7.06,57.21,1,7.85,8.95,1
6.86,72.74,1,9.65,5.88,1
3.32,99.0,1,9.4,5.57,1
4.38,69.38,10,5.1,9.79,1
5.66,86.66,2,5.55,8.08,0
6.95,91.62,1,5.06,6.03,0
4.04,66.1,3,6.1,7.08,0
4.63,79.11,8,7.07,9.33,1
2.79,31.38,5,7.29,7.7,0
2.61,64.63,0,5.16,8.47,0
6.63,76.21,7,4.76,7.85,1
